,record_id,label,classifier,querier,balancer,feature_extractor,training_set,time,note,tags,user_id
52,8046,0,svm,max,balanced,tfidf,52,1750427334.062091,,,
53,1813,0,svm,max,balanced,tfidf,53,1750427334.0751524,,,
54,259,1,svm,max,balanced,tfidf,54,1750427334.0875719,,,
55,4049,0,svm,max,balanced,tfidf,55,1750427334.099274,,,
56,4885,0,svm,max,balanced,tfidf,56,1750427334.1099384,,,
57,516,0,svm,max,balanced,tfidf,57,1750427334.1210299,,,
58,3883,0,svm,max,balanced,tfidf,58,1750427334.1330187,,,
59,575,0,svm,max,balanced,tfidf,59,1750427334.1447053,,,
60,3880,0,svm,max,balanced,tfidf,60,1750427334.1562436,,,
61,1308,0,svm,max,balanced,tfidf,61,1750427334.1662126,,,
62,497,1,svm,max,balanced,tfidf,62,1750427334.176426,,,
63,4400,1,svm,max,balanced,tfidf,63,1750427334.1850271,,,
64,7571,1,svm,max,balanced,tfidf,64,1750427334.1938186,,,
65,3082,0,svm,max,balanced,tfidf,65,1750427334.203158,,,
66,7512,0,svm,max,balanced,tfidf,66,1750427334.214475,,,
67,2759,0,svm,max,balanced,tfidf,67,1750427334.2262602,,,
68,7822,0,svm,max,balanced,tfidf,68,1750427334.2366104,,,
69,6256,0,svm,max,balanced,tfidf,69,1750427334.2466614,,,
70,2472,0,svm,max,balanced,tfidf,70,1750427334.2570539,,,
71,2132,0,svm,max,balanced,tfidf,71,1750427334.2677422,,,
72,5271,0,svm,max,balanced,tfidf,72,1750427334.2783048,,,
73,967,0,svm,max,balanced,tfidf,73,1750427334.2885945,,,
74,1889,0,svm,max,balanced,tfidf,74,1750427334.2993004,,,
75,7265,0,svm,max,balanced,tfidf,75,1750427334.3133454,,,
76,1740,0,svm,max,balanced,tfidf,76,1750427334.3248603,,,
77,2507,0,svm,max,balanced,tfidf,77,1750427334.336918,,,
78,5640,1,svm,max,balanced,tfidf,78,1750427334.347862,,,
79,3143,1,svm,max,balanced,tfidf,79,1750427334.3607733,,,
80,1202,1,svm,max,balanced,tfidf,80,1750427334.3718824,,,
81,8477,1,svm,max,balanced,tfidf,81,1750427334.3833213,,,
82,2571,1,svm,max,balanced,tfidf,82,1750427334.3930752,,,
83,5347,1,svm,max,balanced,tfidf,83,1750427334.403877,,,
84,1278,0,svm,max,balanced,tfidf,84,1750427334.415336,,,
85,4851,0,svm,max,balanced,tfidf,85,1750427334.4262815,,,
86,1012,0,svm,max,balanced,tfidf,86,1750427334.438311,,,
87,1124,1,svm,max,balanced,tfidf,87,1750427334.4495118,,,
88,4036,0,svm,max,balanced,tfidf,88,1750427334.462477,,,
89,1366,0,svm,max,balanced,tfidf,89,1750427334.475526,,,
90,5611,0,svm,max,balanced,tfidf,90,1750427334.4858353,,,
91,8078,1,svm,max,balanced,tfidf,91,1750427334.4966848,,,
92,1210,1,svm,max,balanced,tfidf,92,1750427334.507568,,,
93,373,1,svm,max,balanced,tfidf,93,1750427334.5191686,,,
94,2468,0,svm,max,balanced,tfidf,94,1750427334.5360003,,,
95,2492,1,svm,max,balanced,tfidf,95,1750427334.5541866,,,
96,5560,0,svm,max,balanced,tfidf,96,1750427334.56982,,,
97,3179,0,svm,max,balanced,tfidf,97,1750427334.5856397,,,
98,779,1,svm,max,balanced,tfidf,98,1750427334.602819,,,
99,7788,1,svm,max,balanced,tfidf,99,1750427334.6210992,,,
100,7198,0,svm,max,balanced,tfidf,100,1750427334.6361551,,,
101,6993,0,svm,max,balanced,tfidf,101,1750427334.6551063,,,
102,3396,0,svm,max,balanced,tfidf,102,1750427334.6755936,,,
103,1038,1,svm,max,balanced,tfidf,103,1750427334.6979003,,,
104,1280,1,svm,max,balanced,tfidf,104,1750427334.7194803,,,
105,955,1,svm,max,balanced,tfidf,105,1750427334.7422643,,,
106,4549,1,svm,max,balanced,tfidf,106,1750427334.7679973,,,
107,4298,0,svm,max,balanced,tfidf,107,1750427334.7917662,,,
108,2711,0,svm,max,balanced,tfidf,108,1750427334.8314512,,,
109,7509,1,svm,max,balanced,tfidf,109,1750427334.8589926,,,
110,5090,0,svm,max,balanced,tfidf,110,1750427334.883665,,,
111,4543,1,svm,max,balanced,tfidf,111,1750427334.91061,,,
112,1638,0,svm,max,balanced,tfidf,112,1750427334.9375098,,,
113,6002,1,svm,max,balanced,tfidf,113,1750427334.961294,,,
114,7196,0,svm,max,balanced,tfidf,114,1750427334.9772196,,,
115,6033,1,svm,max,balanced,tfidf,115,1750427334.993548,,,
116,4191,0,svm,max,balanced,tfidf,116,1750427335.0091765,,,
117,543,1,svm,max,balanced,tfidf,117,1750427335.032597,,,
118,1183,1,svm,max,balanced,tfidf,118,1750427335.0568328,,,
119,239,0,svm,max,balanced,tfidf,119,1750427335.0744545,,,
120,1216,1,svm,max,balanced,tfidf,120,1750427335.0982132,,,
121,3047,0,svm,max,balanced,tfidf,121,1750427335.116622,,,
122,3499,0,svm,max,balanced,tfidf,122,1750427335.1329494,,,
123,5889,0,svm,max,balanced,tfidf,123,1750427335.1480324,,,
124,7384,0,svm,max,balanced,tfidf,124,1750427335.1644,,,
125,5592,0,svm,max,balanced,tfidf,125,1750427335.179467,,,
126,5623,0,svm,max,balanced,tfidf,126,1750427335.193973,,,
127,5907,0,svm,max,balanced,tfidf,127,1750427335.2103543,,,
128,1072,0,svm,max,balanced,tfidf,128,1750427335.2275126,,,
129,7151,0,svm,max,balanced,tfidf,129,1750427335.243551,,,
130,4926,1,svm,max,balanced,tfidf,130,1750427335.2566946,,,
131,8399,0,svm,max,balanced,tfidf,131,1750427335.2709506,,,
132,3071,1,svm,max,balanced,tfidf,132,1750427335.2862236,,,
133,1959,0,svm,max,balanced,tfidf,133,1750427335.3043046,,,
134,4639,0,svm,max,balanced,tfidf,134,1750427335.322701,,,
135,5765,0,svm,max,balanced,tfidf,135,1750427335.3349776,,,
136,8051,0,svm,max,balanced,tfidf,136,1750427335.346373,,,
137,897,0,svm,max,balanced,tfidf,137,1750427335.3580406,,,
138,1964,1,svm,max,balanced,tfidf,138,1750427335.370241,,,
139,1799,0,svm,max,balanced,tfidf,139,1750427335.3858242,,,
140,7700,1,svm,max,balanced,tfidf,140,1750427335.401367,,,
141,2234,0,svm,max,balanced,tfidf,141,1750427335.4167736,,,
142,5919,0,svm,max,balanced,tfidf,142,1750427335.4336336,,,
143,4560,1,svm,max,balanced,tfidf,143,1750427335.4479926,,,
144,3163,1,svm,max,balanced,tfidf,144,1750427335.4637275,,,
145,3576,0,svm,max,balanced,tfidf,145,1750427335.4809442,,,
146,952,0,svm,max,balanced,tfidf,146,1750427335.499287,,,
147,8113,0,svm,max,balanced,tfidf,147,1750427335.5194955,,,
148,8511,0,svm,max,balanced,tfidf,148,1750427335.5379288,,,
149,4866,0,svm,max,balanced,tfidf,149,1750427335.5512195,,,
150,5055,1,svm,max,balanced,tfidf,150,1750427335.564151,,,
151,2693,0,svm,max,balanced,tfidf,151,1750427335.5771816,,,
152,162,0,svm,max,balanced,tfidf,152,1750427335.590456,,,
153,7691,1,svm,max,balanced,tfidf,153,1750427335.6044195,,,
154,6815,1,svm,max,balanced,tfidf,154,1750427335.6184564,,,
155,3885,0,svm,max,balanced,tfidf,155,1750427335.6325917,,,
156,2775,1,svm,max,balanced,tfidf,156,1750427335.6459005,,,
157,2543,0,svm,max,balanced,tfidf,157,1750427335.6584082,,,
158,5605,0,svm,max,balanced,tfidf,158,1750427335.6711211,,,
159,7905,1,svm,max,balanced,tfidf,159,1750427335.6839302,,,
160,5302,1,svm,max,balanced,tfidf,160,1750427335.697779,,,
161,5177,1,svm,max,balanced,tfidf,161,1750427335.7117674,,,
162,6946,0,svm,max,balanced,tfidf,162,1750427335.7252057,,,
163,2342,0,svm,max,balanced,tfidf,163,1750427335.7383335,,,
164,8147,0,svm,max,balanced,tfidf,164,1750427335.7509844,,,
165,1031,0,svm,max,balanced,tfidf,165,1750427335.7663708,,,
166,1551,1,svm,max,balanced,tfidf,166,1750427335.77991,,,
167,6303,1,svm,max,balanced,tfidf,167,1750427335.7916691,,,
168,5074,0,svm,max,balanced,tfidf,168,1750427335.8031387,,,
169,2247,0,svm,max,balanced,tfidf,169,1750427335.8140347,,,
170,8495,0,svm,max,balanced,tfidf,170,1750427335.8259206,,,
171,7084,1,svm,max,balanced,tfidf,171,1750427335.8377507,,,
172,8259,0,svm,max,balanced,tfidf,172,1750427335.8505545,,,
173,2686,1,svm,max,balanced,tfidf,173,1750427335.8670297,,,
174,2539,0,svm,max,balanced,tfidf,174,1750427335.8826478,,,
175,3581,0,svm,max,balanced,tfidf,175,1750427335.8942275,,,
176,405,0,svm,max,balanced,tfidf,176,1750427335.9069078,,,
177,1928,1,svm,max,balanced,tfidf,177,1750427335.9192612,,,
178,2358,0,svm,max,balanced,tfidf,178,1750427335.930703,,,
179,2535,0,svm,max,balanced,tfidf,179,1750427335.942253,,,
180,1394,0,svm,max,balanced,tfidf,180,1750427335.9542143,,,
181,5328,1,svm,max,balanced,tfidf,181,1750427335.9655294,,,
182,4177,0,svm,max,balanced,tfidf,182,1750427335.9776828,,,
183,6082,0,svm,max,balanced,tfidf,183,1750427335.9921215,,,
184,4576,0,svm,max,balanced,tfidf,184,1750427336.0038626,,,
185,7263,1,svm,max,balanced,tfidf,185,1750427336.015935,,,
186,784,0,svm,max,balanced,tfidf,186,1750427336.0286345,,,
187,7232,0,svm,max,balanced,tfidf,187,1750427336.0412605,,,
188,1121,1,svm,max,balanced,tfidf,188,1750427336.0551553,,,
189,1879,0,svm,max,balanced,tfidf,189,1750427336.0671272,,,
190,2329,1,svm,max,balanced,tfidf,190,1750427336.0785937,,,
191,8168,0,svm,max,balanced,tfidf,191,1750427336.0906925,,,
192,4873,1,svm,max,balanced,tfidf,192,1750427336.1027007,,,
193,4542,0,svm,max,balanced,tfidf,193,1750427336.1145291,,,
194,5869,0,svm,max,balanced,tfidf,194,1750427336.1267443,,,
195,1578,0,svm,max,balanced,tfidf,195,1750427336.140047,,,
196,1724,0,svm,max,balanced,tfidf,196,1750427336.1524272,,,
197,7450,1,svm,max,balanced,tfidf,197,1750427336.165276,,,
198,7078,0,svm,max,balanced,tfidf,198,1750427336.1777751,,,
199,3652,0,svm,max,balanced,tfidf,199,1750427336.1890748,,,
200,566,0,svm,max,balanced,tfidf,200,1750427336.2002764,,,
201,1215,0,svm,max,balanced,tfidf,201,1750427336.2122211,,,
202,5105,0,svm,max,balanced,tfidf,202,1750427336.2237318,,,
203,5000,0,svm,max,balanced,tfidf,203,1750427336.2399294,,,
204,1257,0,svm,max,balanced,tfidf,204,1750427336.2567704,,,
205,6085,1,svm,max,balanced,tfidf,205,1750427336.2744272,,,
206,446,0,svm,max,balanced,tfidf,206,1750427336.2926824,,,
207,2008,0,svm,max,balanced,tfidf,207,1750427336.3117604,,,
208,6579,0,svm,max,balanced,tfidf,208,1750427336.3269978,,,
209,6661,0,svm,max,balanced,tfidf,209,1750427336.3403137,,,
210,4665,0,svm,max,balanced,tfidf,210,1750427336.3528714,,,
211,6410,0,svm,max,balanced,tfidf,211,1750427336.3663068,,,
212,8679,1,svm,max,balanced,tfidf,212,1750427336.3795612,,,
213,668,0,svm,max,balanced,tfidf,213,1750427336.3938406,,,
214,6426,0,svm,max,balanced,tfidf,214,1750427336.4076564,,,
215,2921,0,svm,max,balanced,tfidf,215,1750427336.4208682,,,
216,4656,0,svm,max,balanced,tfidf,216,1750427336.4330077,,,
217,8612,1,svm,max,balanced,tfidf,217,1750427336.4480116,,,
218,6718,1,svm,max,balanced,tfidf,218,1750427336.461361,,,
219,7878,1,svm,max,balanced,tfidf,219,1750427336.4747725,,,
220,2166,0,svm,max,balanced,tfidf,220,1750427336.4892774,,,
221,7362,1,svm,max,balanced,tfidf,221,1750427336.503707,,,
222,6849,0,svm,max,balanced,tfidf,222,1750427336.5173655,,,
223,6566,1,svm,max,balanced,tfidf,223,1750427336.530353,,,
224,4789,0,svm,max,balanced,tfidf,224,1750427336.5434244,,,
225,4311,0,svm,max,balanced,tfidf,225,1750427336.5564146,,,
226,249,0,svm,max,balanced,tfidf,226,1750427336.5697033,,,
227,2896,0,svm,max,balanced,tfidf,227,1750427336.5839543,,,
228,4938,0,svm,max,balanced,tfidf,228,1750427336.5974064,,,
229,3075,0,svm,max,balanced,tfidf,229,1750427336.6156678,,,
230,681,0,svm,max,balanced,tfidf,230,1750427336.632701,,,
231,1554,1,svm,max,balanced,tfidf,231,1750427336.647977,,,
232,4746,0,svm,max,balanced,tfidf,232,1750427336.6637068,,,
233,4241,1,svm,max,balanced,tfidf,233,1750427336.6786063,,,
234,7359,0,svm,max,balanced,tfidf,234,1750427336.6929693,,,
235,2161,0,svm,max,balanced,tfidf,235,1750427336.7081897,,,
236,4370,0,svm,max,balanced,tfidf,236,1750427336.7236226,,,
237,641,0,svm,max,balanced,tfidf,237,1750427336.738956,,,
238,3169,1,svm,max,balanced,tfidf,238,1750427336.7538345,,,
239,418,0,svm,max,balanced,tfidf,239,1750427336.7693908,,,
240,2628,0,svm,max,balanced,tfidf,240,1750427336.7840333,,,
241,4629,0,svm,max,balanced,tfidf,241,1750427336.8004718,,,
242,7913,1,svm,max,balanced,tfidf,242,1750427336.813753,,,
243,1734,0,svm,max,balanced,tfidf,243,1750427336.8278182,,,
244,8658,0,svm,max,balanced,tfidf,244,1750427336.844787,,,
245,5828,1,svm,max,balanced,tfidf,245,1750427336.8607974,,,
246,4786,0,svm,max,balanced,tfidf,246,1750427336.879217,,,
247,7549,0,svm,max,balanced,tfidf,247,1750427336.8956015,,,
248,2786,0,svm,max,balanced,tfidf,248,1750427336.9085774,,,
249,35,0,svm,max,balanced,tfidf,249,1750427336.9210336,,,
250,6225,0,svm,max,balanced,tfidf,250,1750427336.9337556,,,
251,6705,0,svm,max,balanced,tfidf,251,1750427336.945922,,,
252,3177,0,svm,max,balanced,tfidf,252,1750427336.958291,,,
253,1851,0,svm,max,balanced,tfidf,253,1750427336.9732127,,,
254,304,0,svm,max,balanced,tfidf,254,1750427336.9865746,,,
255,7393,0,svm,max,balanced,tfidf,255,1750427336.9992304,,,
256,3841,0,svm,max,balanced,tfidf,256,1750427337.0119812,,,
257,627,0,svm,max,balanced,tfidf,257,1750427337.024585,,,
258,1405,0,svm,max,balanced,tfidf,258,1750427337.0380256,,,
259,2128,0,svm,max,balanced,tfidf,259,1750427337.0515068,,,
260,7498,0,svm,max,balanced,tfidf,260,1750427337.0662084,,,
261,5308,1,svm,max,balanced,tfidf,261,1750427337.080191,,,
262,1845,0,svm,max,balanced,tfidf,262,1750427337.0935295,,,
263,6113,0,svm,max,balanced,tfidf,263,1750427337.1061766,,,
264,5238,0,svm,max,balanced,tfidf,264,1750427337.1178312,,,
265,7457,0,svm,max,balanced,tfidf,265,1750427337.130487,,,
266,2276,0,svm,max,balanced,tfidf,266,1750427337.1438987,,,
267,2018,0,svm,max,balanced,tfidf,267,1750427337.1564367,,,
268,3081,0,svm,max,balanced,tfidf,268,1750427337.16832,,,
269,7439,0,svm,max,balanced,tfidf,269,1750427337.180609,,,
270,7031,0,svm,max,balanced,tfidf,270,1750427337.1933348,,,
271,1966,0,svm,max,balanced,tfidf,271,1750427337.2057486,,,
272,7566,0,svm,max,balanced,tfidf,272,1750427337.217213,,,
273,7584,0,svm,max,balanced,tfidf,273,1750427337.2289014,,,
274,6813,0,svm,max,balanced,tfidf,274,1750427337.241499,,,
275,3695,0,svm,max,balanced,tfidf,275,1750427337.2542112,,,
276,7524,0,svm,max,balanced,tfidf,276,1750427337.2657871,,,
277,496,0,svm,max,balanced,tfidf,277,1750427337.2784026,,,
278,2557,0,svm,max,balanced,tfidf,278,1750427337.2910545,,,
279,8124,0,svm,max,balanced,tfidf,279,1750427337.3036854,,,
280,7774,0,svm,max,balanced,tfidf,280,1750427337.3158355,,,
281,6777,0,svm,max,balanced,tfidf,281,1750427337.3272853,,,
282,7707,0,svm,max,balanced,tfidf,282,1750427337.3391302,,,
283,5946,0,svm,max,balanced,tfidf,283,1750427337.3508687,,,
284,273,1,svm,max,balanced,tfidf,284,1750427337.3643124,,,
285,1833,0,svm,max,balanced,tfidf,285,1750427337.3762565,,,
286,8528,1,svm,max,balanced,tfidf,286,1750427337.3881125,,,
287,1094,0,svm,max,balanced,tfidf,287,1750427337.4008822,,,
288,4426,0,svm,max,balanced,tfidf,288,1750427337.413652,,,
289,489,0,svm,max,balanced,tfidf,289,1750427337.4247785,,,
290,4204,0,svm,max,balanced,tfidf,290,1750427337.436138,,,
291,698,0,svm,max,balanced,tfidf,291,1750427337.448318,,,
292,8518,0,svm,max,balanced,tfidf,292,1750427337.4596963,,,
293,3229,0,svm,max,balanced,tfidf,293,1750427337.4712102,,,
294,255,0,svm,max,balanced,tfidf,294,1750427337.484032,,,
295,7374,0,svm,max,balanced,tfidf,295,1750427337.4979923,,,
296,1304,0,svm,max,balanced,tfidf,296,1750427337.510461,,,
297,8407,0,svm,max,balanced,tfidf,297,1750427337.5220768,,,
298,439,0,svm,max,balanced,tfidf,298,1750427337.533321,,,
299,4352,0,svm,max,balanced,tfidf,299,1750427337.5456488,,,
300,5690,0,svm,max,balanced,tfidf,300,1750427337.5574253,,,
301,3814,0,svm,max,balanced,tfidf,301,1750427337.56871,,,
302,1595,0,svm,max,balanced,tfidf,302,1750427337.5823147,,,
303,2296,0,svm,max,balanced,tfidf,303,1750427337.5958202,,,
304,7426,0,svm,max,balanced,tfidf,304,1750427337.6080358,,,
305,4536,0,svm,max,balanced,tfidf,305,1750427337.619827,,,
306,1629,0,svm,max,balanced,tfidf,306,1750427337.631079,,,
307,6395,0,svm,max,balanced,tfidf,307,1750427337.6434803,,,
308,4610,0,svm,max,balanced,tfidf,308,1750427337.6560774,,,
309,4290,0,svm,max,balanced,tfidf,309,1750427337.669859,,,
310,5726,0,svm,max,balanced,tfidf,310,1750427337.6843538,,,
311,4655,0,svm,max,balanced,tfidf,311,1750427337.6977549,,,
312,1553,0,svm,max,balanced,tfidf,312,1750427337.7102773,,,
313,1413,0,svm,max,balanced,tfidf,313,1750427337.7214444,,,
314,8414,0,svm,max,balanced,tfidf,314,1750427337.7341778,,,
315,6251,0,svm,max,balanced,tfidf,315,1750427337.7466774,,,
316,4651,1,svm,max,balanced,tfidf,316,1750427337.7590744,,,
317,1120,0,svm,max,balanced,tfidf,317,1750427337.771413,,,
318,5166,0,svm,max,balanced,tfidf,318,1750427337.7849896,,,
319,6996,0,svm,max,balanced,tfidf,319,1750427337.7989202,,,
320,2572,0,svm,max,balanced,tfidf,320,1750427337.8128877,,,
321,1026,1,svm,max,balanced,tfidf,321,1750427337.825996,,,
322,156,0,svm,max,balanced,tfidf,322,1750427337.840509,,,
323,7798,0,svm,max,balanced,tfidf,323,1750427337.8540933,,,
324,6802,0,svm,max,balanced,tfidf,324,1750427337.8672984,,,
325,1904,0,svm,max,balanced,tfidf,325,1750427337.8807921,,,
326,4593,0,svm,max,balanced,tfidf,326,1750427337.8939433,,,
327,277,0,svm,max,balanced,tfidf,327,1750427337.9077523,,,
328,2491,0,svm,max,balanced,tfidf,328,1750427337.9213657,,,
329,3092,0,svm,max,balanced,tfidf,329,1750427337.9338033,,,
330,6364,0,svm,max,balanced,tfidf,330,1750427337.9449859,,,
331,2723,0,svm,max,balanced,tfidf,331,1750427337.9569898,,,
332,5967,0,svm,max,balanced,tfidf,332,1750427337.9700968,,,
333,6453,0,svm,max,balanced,tfidf,333,1750427337.9828033,,,
334,570,0,svm,max,balanced,tfidf,334,1750427337.9960618,,,
335,3608,0,svm,max,balanced,tfidf,335,1750427338.008713,,,
336,1352,0,svm,max,balanced,tfidf,336,1750427338.021649,,,
337,8494,0,svm,max,balanced,tfidf,337,1750427338.033198,,,
338,647,0,svm,max,balanced,tfidf,338,1750427338.0465024,,,
339,3624,0,svm,max,balanced,tfidf,339,1750427338.0596619,,,
340,520,0,svm,max,balanced,tfidf,340,1750427338.0727632,,,
341,4172,0,svm,max,balanced,tfidf,341,1750427338.0843043,,,
342,5215,0,svm,max,balanced,tfidf,342,1750427338.096301,,,
343,3570,0,svm,max,balanced,tfidf,343,1750427338.1095805,,,
344,3552,0,svm,max,balanced,tfidf,344,1750427338.1228724,,,
345,3633,0,svm,max,balanced,tfidf,345,1750427338.1361024,,,
346,5664,0,svm,max,balanced,tfidf,346,1750427338.1488667,,,
347,6464,0,svm,max,balanced,tfidf,347,1750427338.1612484,,,
348,468,0,svm,max,balanced,tfidf,348,1750427338.1733353,,,
349,5103,0,svm,max,balanced,tfidf,349,1750427338.186552,,,
350,3158,0,svm,max,balanced,tfidf,350,1750427338.202642,,,
351,743,0,svm,max,balanced,tfidf,351,1750427338.2199018,,,
352,6772,0,svm,max,balanced,tfidf,352,1750427338.2389889,,,
353,1482,0,svm,max,balanced,tfidf,353,1750427338.2588255,,,
354,2136,0,svm,max,balanced,tfidf,354,1750427338.2761245,,,
355,5061,0,svm,max,balanced,tfidf,355,1750427338.290574,,,
356,4464,0,svm,max,balanced,tfidf,356,1750427338.3049195,,,
357,5992,0,svm,max,balanced,tfidf,357,1750427338.319412,,,
358,1559,0,svm,max,balanced,tfidf,358,1750427338.334339,,,
359,6743,0,svm,max,balanced,tfidf,359,1750427338.3483963,,,
360,8217,0,svm,max,balanced,tfidf,360,1750427338.3632543,,,
361,880,0,svm,max,balanced,tfidf,361,1750427338.377237,,,
362,6608,0,svm,max,balanced,tfidf,362,1750427338.3913124,,,
363,308,0,svm,max,balanced,tfidf,363,1750427338.4042444,,,
364,5313,0,svm,max,balanced,tfidf,364,1750427338.4177372,,,
365,6465,0,svm,max,balanced,tfidf,365,1750427338.4308195,,,
366,7672,0,svm,max,balanced,tfidf,366,1750427338.4447677,,,
367,301,0,svm,max,balanced,tfidf,367,1750427338.458642,,,
368,7183,0,svm,max,balanced,tfidf,368,1750427338.4731746,,,
369,501,0,svm,max,balanced,tfidf,369,1750427338.4857223,,,
370,7871,0,svm,max,balanced,tfidf,370,1750427338.501828,,,
371,2054,0,svm,max,balanced,tfidf,371,1750427338.5155032,,,
372,1965,0,svm,max,balanced,tfidf,372,1750427338.5295877,,,
373,7636,0,svm,max,balanced,tfidf,373,1750427338.5437796,,,
374,2309,0,svm,max,balanced,tfidf,374,1750427338.5590236,,,
375,1118,0,svm,max,balanced,tfidf,375,1750427338.5738618,,,
376,893,0,svm,max,balanced,tfidf,376,1750427338.588279,,,
377,1925,0,svm,max,balanced,tfidf,377,1750427338.6029022,,,
378,5187,0,svm,max,balanced,tfidf,378,1750427338.6169636,,,
379,1598,0,svm,max,balanced,tfidf,379,1750427338.6321688,,,
380,7201,0,svm,max,balanced,tfidf,380,1750427338.6480207,,,
381,7128,0,svm,max,balanced,tfidf,381,1750427338.661742,,,
382,3962,0,svm,max,balanced,tfidf,382,1750427338.675552,,,
383,1540,0,svm,max,balanced,tfidf,383,1750427338.6887224,,,
384,510,0,svm,max,balanced,tfidf,384,1750427338.702506,,,
385,860,0,svm,max,balanced,tfidf,385,1750427338.7158532,,,
386,4120,0,svm,max,balanced,tfidf,386,1750427338.72848,,,
387,3130,0,svm,max,balanced,tfidf,387,1750427338.7419605,,,
388,210,0,svm,max,balanced,tfidf,388,1750427338.7566016,,,
389,1192,0,svm,max,balanced,tfidf,389,1750427338.7710652,,,
390,688,0,svm,max,balanced,tfidf,390,1750427338.785511,,,
391,1794,0,svm,max,balanced,tfidf,391,1750427338.8003983,,,
392,5196,0,svm,max,balanced,tfidf,392,1750427338.8137772,,,
393,5965,0,svm,max,balanced,tfidf,393,1750427338.8277738,,,
394,1341,0,svm,max,balanced,tfidf,394,1750427338.8414133,,,
395,1832,0,svm,max,balanced,tfidf,395,1750427338.854034,,,
396,3535,0,svm,max,balanced,tfidf,396,1750427338.8670745,,,
397,1082,1,svm,max,balanced,tfidf,397,1750427338.8807592,,,
398,5241,0,svm,max,balanced,tfidf,398,1750427338.8966365,,,
399,792,0,svm,max,balanced,tfidf,399,1750427338.9109566,,,
400,4868,0,svm,max,balanced,tfidf,400,1750427338.9253066,,,
401,709,0,svm,max,balanced,tfidf,401,1750427338.9395924,,,
402,138,0,svm,max,balanced,tfidf,402,1750427338.9531496,,,
